"","times","Day","Month","Date","CO2","Year","wd","Windgeschwindigkeit","Windrichtung","temp","Luftfeuchtigkeit","Bedeckungsgrad","Pressure","Intensity"
"2",0,7,6,"2016-06-07",398.157,2016,"Dienstag",3.2,110,2.3,80,NA,716.6,0.0085971832321306
"16",1,7,6,"2016-06-07",398.727,2016,"Dienstag",1.9,130,2.4,82,NA,716.6,0.00864412664088834
"170",2,7,6,"2016-06-07",398.356,2016,"Dienstag",0.7,230,2,86,NA,716.5,0.00890281964383994
"240",3,7,6,"2016-06-07",397.959,2016,"Dienstag",2,210,2.1,80,NA,716.3,0.00938216630611574
"254",4,7,6,"2016-06-07",398.067,2016,"Dienstag",1.2,250,2.7,74,1,716.5,0.0100975569077044
"268",5,7,6,"2016-06-07",397.873,2016,"Dienstag",2.2,340,2.6,80,1,716.7,0.0110700230818745
"282",6,7,6,"2016-06-07",397.993,2016,"Dienstag",2.5,350,2.7,82,1,717,0.0123726017846761
"296",7,7,6,"2016-06-07",398.075,2016,"Dienstag",2.8,360,2.2,85,1,717.2,0.0141733299669644
"310",8,7,6,"2016-06-07",398.305,2016,"Dienstag",2.1,10,2.3,89,2,717.4,0.0165693630679296
"324",9,7,6,"2016-06-07",397.591,2016,"Dienstag",1.8,10,2.7,73,3,717.7,0.0198336267755451
"30",10,7,6,"2016-06-07",397.326,2016,"Dienstag",2.1,80,4.4,79,5,717.9,0.0241827346747493
"44",11,7,6,"2016-06-07",397.742,2016,"Dienstag",2.6,120,3.9,83,6,718,0.0292431556482467
"62",12,NA,NA,"2016-06-07",NA,NA,NA,2.3,120,3.6,84,7,717.9,NA
"72",13,7,6,"2016-06-07",398.519,2016,"Dienstag",1.3,40,3.2,79,7,718,0.0316604040767191
"86",14,7,6,"2016-06-07",399.286,2016,"Dienstag",1.4,360,3.6,73,7,717.7,0.0269852785479262
"100",15,7,6,"2016-06-07",399.072,2016,"Dienstag",1.6,130,3.9,84,7,717.6,0.0221303731147531
"114",16,7,6,"2016-06-07",399.313,2016,"Dienstag",2.1,20,3.7,81,6,717.5,0.0182747509110323
"128",17,7,6,"2016-06-07",399.71,2016,"Dienstag",1.3,30,3.6,91,7,717.3,0.0154973585043706
"142",18,7,6,"2016-06-07",399.903,2016,"Dienstag",1,20,3,89,6,717.5,0.0133256393151678
"156",19,7,6,"2016-06-07",399.871,2016,"Dienstag",1.7,350,2.4,85,6,717.4,0.0117732087202866
"184",20,7,6,"2016-06-07",400.352,2016,"Dienstag",2.1,320,2.4,85,NA,717.6,0.0106141815341319
"198",21,7,6,"2016-06-07",400.686,2016,"Dienstag",3.1,330,2.1,79,NA,717.6,0.00977242352282928
"212",22,7,6,"2016-06-07",400.106,2016,"Dienstag",2.8,330,1.7,97,NA,717.6,0.00915645671346727
"226",23,7,6,"2016-06-07",400.424,2016,"Dienstag",1.6,340,1.4,87,NA,717.1,0.00878183076112212
"5",0,23,6,"2016-06-23",406.329,2016,"Donnerstag",2.9,40,8.3,28,NA,723.3,0.00888841426555681
"19",1,23,6,"2016-06-23",406.306,2016,"Donnerstag",3,10,8.1,29,NA,723.2,0.00894714483140652
"173",2,23,6,"2016-06-23",406.329,2016,"Donnerstag",4,20,8.3,27,NA,723,0.00920840266546922
"243",3,23,6,"2016-06-23",406.291,2016,"Donnerstag",4.1,50,8.9,15,NA,722.8,0.00968939907966462
"257",4,23,6,"2016-06-23",406.236,2016,"Donnerstag",3.3,70,9.7,10,0,722.7,0.0104330935113341
"271",5,23,6,"2016-06-23",405.893,2016,"Donnerstag",3.3,70,11.5,9,0,722.8,0.0114414981436889
"285",6,23,6,"2016-06-23",406.257,2016,"Donnerstag",3,70,12,9,1,722.9,0.0128289402191841
"299",7,23,6,"2016-06-23",406.268,2016,"Donnerstag",2.9,70,11.5,9,1,723,0.01474889729505
"313",8,23,6,"2016-06-23",405.752,2016,"Donnerstag",2.6,60,13,9,0,723.2,0.0173302137689373
"327",9,23,6,"2016-06-23",405.476,2016,"Donnerstag",2.3,70,12.4,10,0,723.4,0.0209842558279043
"40",10,NA,NA,"2016-06-23",NA,NA,NA,2.5,90,13.2,9,1,723.6,NA
"47",11,23,6,"2016-06-23",406.206,2016,"Donnerstag",2.4,110,13.1,35,1,723.8,0.0324973646155285
"60",12,NA,NA,"2016-06-23",NA,NA,NA,3,130,13.1,41,1,723.6,NA
"75",13,23,6,"2016-06-23",406.259,2016,"Donnerstag",3.3,140,12.8,43,1,723.7,0.0358029570352575
"89",14,23,6,"2016-06-23",407.226,2016,"Donnerstag",3,140,13.6,50,1,723.6,0.0295780902318749
"103",15,23,6,"2016-06-23",407.791,2016,"Donnerstag",1.3,100,13.8,54,1,723.4,0.0236547487930084
"117",16,23,6,"2016-06-23",407.844,2016,"Donnerstag",1.3,100,14.3,51,1,723,0.01923520603303
"131",17,23,6,"2016-06-23",407.901,2016,"Donnerstag",1.4,170,16.4,40,1,722.9,0.0160712593793004
"145",18,23,6,"2016-06-23",408.021,2016,"Donnerstag",0.7,290,13.6,38,1,722.8,0.0138212662827008
"159",19,23,6,"2016-06-23",407.243,2016,"Donnerstag",1.2,50,13.2,33,1,722.8,0.0121758947147715
"187",20,23,6,"2016-06-23",406.535,2016,"Donnerstag",2.3,140,11.3,43,NA,722.8,0.0109627365718404
"201",21,23,6,"2016-06-23",406.789,2016,"Donnerstag",3.1,150,11.3,38,NA,722.6,0.0100854929993409
"215",22,23,6,"2016-06-23",407.287,2016,"Donnerstag",3.6,160,10.7,44,NA,722.6,0.00942383939978138
"229",23,23,6,"2016-06-23",407.335,2016,"Donnerstag",5.1,200,10.8,41,NA,722.3,0.00907219623498818
"7",0,25,7,"2016-07-25",397.83,2016,"Montag",1.5,140,5.5,99,NA,718.1,0.00913756078109814
"21",1,25,7,"2016-07-25",397.85,2016,"Montag",1.7,120,5.3,99,NA,717.9,0.00916271935035718
"175",2,25,7,"2016-07-25",397.927,2016,"Montag",1.4,120,5.2,97,NA,717.7,0.00941111400754184
"245",3,25,7,"2016-07-25",398.568,2016,"Montag",1.6,70,4.8,100,NA,717.5,0.00988681187252022
"259",4,25,7,"2016-07-25",398.533,2016,"Montag",1.9,80,4.9,99,8,717.4,0.0106092664301107
"273",5,25,7,"2016-07-25",398.364,2016,"Montag",3,120,5.1,97,7,717.4,0.0116311668158392
"287",6,25,7,"2016-07-25",398.833,2016,"Montag",1.6,140,5.5,97,8,717.5,0.0130308208617577
"301",7,25,7,"2016-07-25",398.936,2016,"Montag",1.5,120,5.3,97,8,717.7,0.0149495873177426
"315",8,25,7,"2016-07-25",399.027,2016,"Montag",0.8,340,5.7,100,NA,717.7,0.0176288009863773
"329",9,25,7,"2016-07-25",399.225,2016,"Montag",1,310,6.3,97,NA,717.7,0.0214626685475839
"34",10,25,7,"2016-07-25",400.131,2016,"Montag",1.1,320,7.2,94,NA,717.9,0.027035611411344
"49",11,25,7,"2016-07-25",400.131,2016,"Montag",1.3,330,5.6,96,7,718,0.0346931767069287
"58",12,NA,NA,"2016-07-25",NA,NA,NA,1.7,10,6.3,84,7,717.9,NA
"77",13,25,7,"2016-07-25",399.755,2016,"Montag",1.7,350,6,91,7,718,0.0403154820441235
"91",14,25,7,"2016-07-25",400.518,2016,"Montag",2.7,360,5.6,94,7,718.1,0.0326015343895118
"105",15,25,7,"2016-07-25",399.553,2016,"Montag",2.8,360,6.4,100,NA,718.2,0.0254773674315609
"119",16,25,7,"2016-07-25",400.168,2016,"Montag",3.2,360,5.3,98,6,718.1,0.0204310796065599
"133",17,25,7,"2016-07-25",399.884,2016,"Montag",3.1,360,6.1,100,NA,718.3,0.0168641600528216
"147",18,25,7,"2016-07-25",400.307,2016,"Montag",3.5,350,5,100,NA,718.4,0.014406636875491
"161",19,25,7,"2016-07-25",400.442,2016,"Montag",2.6,360,5.1,100,NA,718.6,0.0126356029825146
"189",20,25,7,"2016-07-25",400.509,2016,"Montag",3,360,5.1,100,NA,718.9,0.0113416293591122
"203",21,25,7,"2016-07-25",400.728,2016,"Montag",2,350,4.5,100,NA,718.9,0.0103433459075938
"217",22,25,7,"2016-07-25",400.88,2016,"Montag",1.5,10,4.6,96,NA,718.6,0.00973019558261491
"231",23,25,7,"2016-07-25",402.105,2016,"Montag",3.2,10,4.6,99,NA,718.3,0.00932858599489219
"8",0,26,7,"2016-07-26",402.411,2016,"Dienstag",1.4,50,4.5,95,NA,718.3,0.00913589871599546
"22",1,26,7,"2016-07-26",402.407,2016,"Dienstag",1.4,360,4.3,100,NA,718.2,0.00916062074707353
"176",2,26,7,"2016-07-26",402.633,2016,"Dienstag",2.5,360,4.4,95,NA,718,0.00940789433915092
"246",3,26,7,"2016-07-26",402.627,2016,"Dienstag",2.4,350,4.5,93,NA,717.8,0.00988257358636934
"260",4,26,7,"2016-07-26",402.1,2016,"Dienstag",1.8,360,4.7,86,6,717.8,0.0106039349631222
"274",5,26,7,"2016-07-26",402.247,2016,"Dienstag",2.4,10,4.7,91,6,717.7,0.0116244409764816
"288",6,26,7,"2016-07-26",402.401,2016,"Dienstag",1.1,10,4.5,100,NA,717.9,0.0130221993339008
"302",7,26,7,"2016-07-26",402.054,2016,"Dienstag",1.6,10,4.8,96,7,718.1,0.0149378489683891
"316",8,26,7,"2016-07-26",401.93,2016,"Dienstag",0.9,30,6.2,86,7,718.1,0.0176123201222426
"330",9,26,7,"2016-07-26",401.611,2016,"Dienstag",1,70,6.7,88,6,718.3,0.0214389919153966
"35",10,26,7,"2016-07-26",401.408,2016,"Dienstag",1.6,140,7.6,87,7,718.4,0.0270007177987553
